Booking Date,Origin,Destination,Departure Date,Departure Day,Arrival Date,Arrival Day,Trip Duration,Price,Airline,stops - outbound,stops - return,duration - inbound,duration - return,Origin_Holiday_Season,Origin_Peak_Season,Dest_Holiday_Season,Dest_Peak_Season,On_Holiday,On_Peak,Unnamed: 20
2025-03-04,YYZ,YVR,2025-03-19,Wednesday,2025-04-18,Friday,30,231.0,Flair Airlines,direct,direct,5h 10m,4h 30m,No,No,No,No,No,No,15.0
2025-03-04,YYZ,KIX,2025-03-19,Wednesday,2025-04-18,Friday,30,2502.0,Japan Airlines • Operated by Republic Airways AS American Eagle,2 stops,2 stops,21h 40m,21h 25m,No,No,No,No,No,No,15.0
2025-03-04,YVR,LGW,2025-03-26,Wednesday,2025-04-05,Saturday,10,1480.0,Air Transat • Operated by Porter Airlines,1 stop,1 stop,16h 30m,16h 20m,No,No,No,No,No,No,22.0
2025-03-04,YYZ,YVR,2025-03-26,Wednesday,2025-03-29,Saturday,3,212.0,Porter Airlines,direct,direct,5h 19m,4h 40m,No,No,No,No,No,No,22.0
2025-03-04,YVR,LGW,2025-03-26,Wednesday,2025-04-09,Wednesday,14,965.0,Porter Airlines • Operated by Air Transat,1 stop,1 stop,16h 30m,16h 20m,No,No,No,No,No,No,22.0
2025-03-04,YYZ,YVR,2025-03-26,Wednesday,2025-03-31,Monday,5,212.0,Porter Airlines,direct,direct,5h 19m,4h 40m,No,No,No,No,No,No,22.0
2025-03-04,YYZ,KIX,2025-03-26,Wednesday,2025-03-29,Saturday,3,2649.0,United Airlines • Operated by Air Canada,1 stop,1 stop,21h 05m,18h 52m,No,No,No,No,No,No,22.0
2025-03-04,YVR,LGW,2025-03-26,Wednesday,2025-04-25,Friday,30,1155.0,Porter Airlines • Operated by Air Transat,1 stop,1 stop,16h 30m,16h 20m,No,No,No,No,No,No,22.0
2025-03-04,YYZ,KIX,2025-03-26,Wednesday,2025-03-31,Monday,5,2129.0,United Airlines • Operated by Air Canada,1 stop,1 stop,21h 05m,20h 37m,No,No,No,No,No,No,22.0
2025-03-04,YYZ,YVR,2025-03-26,Wednesday,2025-04-02,Wednesday,7,212.0,Porter Airlines,direct,direct,5h 19m,4h 40m,No,No,No,No,No,No,22.0
2025-03-04,YYZ,KIX,2025-03-26,Wednesday,2025-04-02,Wednesday,7,2153.0,United Airlines,1 stop,2 stops,21h 05m,18h 58m,No,No,No,No,No,No,22.0
2025-03-04,YVR,LGW,2025-04-02,Wednesday,2025-04-05,Saturday,3,1425.0,Air Transat • Operated by Porter Airlines,1 stop,1 stop,14h 15m,16h 20m,No,No,No,No,No,No,29.0
2025-03-04,YYZ,YVR,2025-03-26,Wednesday,2025-04-05,Saturday,10,212.0,Porter Airlines,direct,direct,5h 19m,4h 40m,No,No,No,No,No,No,22.0
2025-03-04,YYZ,YVR,2025-03-26,Wednesday,2025-04-09,Wednesday,14,212.0,Porter Airlines,direct,direct,5h 19m,4h 40m,No,No,No,No,No,No,22.0
2025-03-04,YVR,LGW,2025-04-02,Wednesday,2025-04-07,Monday,5,1300.0,Air Transat • Operated by Porter Airlines,1 stop,1 stop,14h 15m,16h 20m,No,No,No,No,No,No,29.0
2025-03-04,YYZ,KIX,2025-03-26,Wednesday,2025-04-09,Wednesday,14,2091.0,"United Airlines, ANA • Operated by United Airlines, Star Flyer, Air Canada",1 stop,2 stops,21h 05m,18h 24m,No,No,No,No,No,No,22.0
2025-03-04,YYZ,YVR,2025-03-26,Wednesday,2025-04-25,Friday,30,289.0,Porter Airlines,direct,direct,5h 19m,4h 40m,No,No,No,No,No,No,22.0
2025-03-04,YVR,LGW,2025-04-02,Wednesday,2025-04-09,Wednesday,7,921.0,Porter Airlines • Operated by Air Transat,1 stop,1 stop,14h 15m,16h 20m,No,No,No,No,No,No,29.0
2025-03-04,YYZ,KIX,2025-03-26,Wednesday,2025-04-25,Friday,30,2285.0,EVA Air,1 stop,1 stop,21h 40m,21h 25m,No,No,No,No,No,No,22.0
2025-03-04,YVR,LGW,2025-04-02,Wednesday,2025-04-12,Saturday,10,965.0,Air Transat • Operated by Porter Airlines,1 stop,1 stop,14h 15m,16h 20m,No,No,No,No,No,No,29.0
2025-03-04,YYZ,KIX,2025-04-02,Wednesday,2025-04-05,Saturday,3,2228.0,Air Canada • Operated by ANA,1 stop,1 stop,17h 15m,22h 05m,No,No,No,No,No,No,29.0
2025-03-04,YYZ,YVR,2025-04-02,Wednesday,2025-04-07,Monday,5,226.0,Porter Airlines,direct,direct,5h 15m,4h 30m,No,No,No,No,No,No,29.0
2025-03-04,YVR,LGW,2025-04-02,Wednesday,2025-04-16,Wednesday,14,1240.0,Air Transat • Operated by Porter Airlines,1 stop,1 stop,14h 15m,16h 20m,No,No,No,No,No,No,29.0
2025-03-04,YYZ,KIX,2025-04-02,Wednesday,2025-04-07,Monday,5,2015.0,United Airlines • Operated by ANA,1 stop,2 stops,17h 15m,22h 05m,No,No,No,No,No,No,29.0
2025-03-04,YVR,LGW,2025-04-02,Wednesday,2025-05-02,Friday,30,910.0,Air Transat • Operated by Porter Airlines,1 stop,1 stop,14h 15m,16h 15m,No,No,No,No,No,No,29.0
